"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","weightloss","0","1",15,15,120,0.756,1,"ns",11.65584,1,2
"2","weightloss","0","2",15,15,165,0.021,0.168,"ns",13.0830857142857,1,3
"3","weightloss","0","3",15,15,135,0.329,1,"ns",14.5103314285714,1,4
"4","weightloss","0","4",15,15,120,0.756,1,"ns",15.9375771428571,1,5
"5","weightloss","0","5",15,15,75,0.101,0.808,"ns",17.3648228571429,1,6
"6","weightloss","0","6",15,15,60,0.021,0.168,"ns",18.7920685714286,1,7
"7","weightloss","0","7",15,15,90,0.329,1,"ns",20.2193142857143,1,8
"8","weightloss","0","8",15,14,90,0.496,1,"ns",21.64656,1,9
