"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","relative_weight","0","1",8,8,32,1,1,"ns",110.27724,1,2
"2","relative_weight","0","2",8,10,16,0.029,0.232,"ns",111.6798,1,3
"3","relative_weight","0","3",8,10,40,1,1,"ns",113.08236,1,4
"4","relative_weight","0","4",8,10,48,0.486,1,"ns",114.48492,1,5
"5","relative_weight","0","5",8,2,16,0.005,0.04,"*",115.88748,1,6
"6","relative_weight","0","6",8,7,40,0.149,1,"ns",117.29004,1,7
"7","relative_weight","0","7",8,3,16,0.364,1,"ns",118.6926,1,8
"8","relative_weight","0","8",8,10,56,0.15,1,"ns",120.09516,1,9
