"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Genome_copies_gFaeces","0","1",8,8,36.5,0.629,1,"ns",681160893.11336,1,2
"2","Genome_copies_gFaeces","0","2",8,10,45.5,0.597,1,"ns",764526146.338914,1,3
"3","Genome_copies_gFaeces","0","3",8,10,32.5,0.515,1,"ns",847891399.564469,1,4
"4","Genome_copies_gFaeces","0","4",8,10,29.5,0.353,1,"ns",931256652.790023,1,5
"5","Genome_copies_gFaeces","0","5",8,2,1,0.07,0.56,"ns",1014621906.01558,1,6
"6","Genome_copies_gFaeces","0","6",8,7,8.5,0.023,0.184,"ns",1097987159.24113,1,7
"7","Genome_copies_gFaeces","0","7",8,3,8.5,0.504,1,"ns",1181352412.46669,1,8
"8","Genome_copies_gFaeces","0","8",8,10,25,0.184,1,"ns",1264717665.69224,1,9
