,X,EH_ID,experiment,completed_mice,labels,Repeated_DNA_extract,dpi,Utilised_fecal_mass_for_DNA_extraction_in grams,Extraction_round_1,Extraction_round_2,Errors_during_extraction,E57_Sample_status,VJD_Sample_status,Faeces_for_RNA-SEQ,Date_of_extraction,Executor,Sample_location,V_H20,Date and Time,Nucleic Acid Conc.,Unit,A260,A280,260/280,260/230,Sample Type
100,90,LM0186,E57,XX,E57aFJS,,2,0.0634,with_beads,with_beads,,Found,Found,,20.04.2022_B1,Dileshi,Box_4_Row_2,,4/20/2022 1:58:19 PM,150.6,ng/µl,3.013,1.626,1.85,2.18,D
101,91,LM0186,E57,XX,E57aENZ,,3,0.0590,with_beads,with_beads,,Found,Unknown,,23.04.2022_B1,Dileshi,Box_4_Row_2,,4/23/2022 4:42:34 PM,126.3,ng/µl,2.526,1.393,1.81,1.78,D
102,89,LM0186,E57,XX,E57aNQS,,4,0.0373,with_beads,with_beads,,Found,Found,,20.04.2022_B1,Dileshi,Box_4_Row_2,,4/20/2022 1:59:49 PM,181.2,ng/µl,3.623,1.975,1.83,1.76,D
103,85,LM0186,E57,XX,E57aMNV,,5,0.0520,with_beads,with_beads,,Found,Found,Available,20.04.2022_B1,Dileshi,Box_4_Row_2,,,,,,,,,
104,87,LM0186,E57,XX,E57aEPU,,6,0.0938,with_beads,with_beads,,Found,Found,,18.03.2022,Alexa,Box_4_Row_2,,3/18/2022 1:02:31 PM,211.6,ng/µl,4.232,2.303,1.84,2.44,D
105,95,LM0186,E57,XX,E57aMOU,,7,0.1006,with_beads,with_beads,,Found,Unknown,,17.03.2022,Alexa,Box_4_Row_2,,4/26/2022 8:03:04 PM,199.8,ng/µl,3.997,2.195,1.82,1.53,D
106,86,LM0186,E57,XX,E57aFPR,,8,0.0352,with_beads,with_beads,,Found,Unknown,,17.03.2022,Alexa,Box_4_Row_2,,4/26/2022 8:03:37 PM,41.4,ng/µl,0.828,0.464,1.79,1.33,D
107,93,LM0186,E57,XX,E57aAOP,,9,0.1045,with_beads,with_beads,,Found,Found,,17.03.2022,Alexa,Box_4_Row_2,,4/26/2022 8:02:34 PM,151.3,ng/µl,3.026,1.666,1.82,1.6,D
108,88,LM0186,E57,XX,E57aAPW,,10,0.0630,with_beads,with_beads,,Found,Found,Available,20.04.2022_B1,Dileshi,Box_4_Row_2,,4/20/2022 2:01:39 PM,182.6,ng/µl,3.652,1.993,1.83,2.11,D
109,94,LM0186,E57,XX,E57aKPZ,,11,0.0706,with_beads,with_beads,,Empty,Found,,20.04.2022_B1,Dileshi,Box_4_Row_2,,4/20/2022 2:05:17 PM,268.4,ng/µl,5.367,2.94,1.83,2.08,D
110,107,LM0187,E57,,E57aAKP,,0,,,,,Found,Found,,,,Box_9_Row_2,,,,,,,,,
111,105,LM0187,E57,,E57aCIZ,,1,,,,,Found,Found,,,,Box_9_Row_2,,4/14/2022 7:03:52 PM,221.7,ng/µl,4.434,2.484,1.78,1.3,D
112,97,LM0187,E57,,E57aCIW,,2,,,,,Found,Found,,,,Box_9_Row_2,,,,,,,,,
113,102,LM0187,E57,,E57aCIW2,,3,,,,,Found,Unknown,,,,Box_9_Row_2,,,,,,,,,
114,98,LM0187,E57,,E57aBCR,,4,,,,,Found,Found,,,,Box_9_Row_2,,,,,,,,,
115,106,LM0187,E57,,E57aFKW,,5,,,,,Found,Found,,,,Box_9_Row_2,,,,,,,,,
116,101,LM0187,E57,,E57aDRY,,6,,,,,Unknown,Found,,,,Box_9_Row_2,,,,,,,,,
117,100,LM0187,E57,,E57aDNX,,7,0.0459,with_beads,with_beads,,Found,Unknown,,15.03.2022,Alexa,Box_9_Row_2,,3/15/2022 12:09:24 PM,106.4,ng/µl,2.129,1.154,1.85,2.14,D
118,104,LM0187,E57,,E57aAOV,,8,,,,,Empty,Unknown,,,,Box_9_Row_2,,,,,,,,,
119,99,LM0187,E57,,E57aAOV2,,9,,,,,Unknown,Unknown,,,,Box_9_Row_2,,,,,,,,,
120,103,LM0187,E57,,E57aEOU,,10,,,,,Unknown,Unknown,,,,Box_9_Row_2,,,,,,,,,
121,108,LM0187,E57,,E57aUVY,,11,,,,,Unknown,Unknown,,,,Box_9_Row_2,,,,,,,,,
122,113,LM0188,E57,XX,E57aDET,,0,0.0840,with_beads,with_beads,,Found,Found,,10.04.2022_B1,Dileshi,Box_3_Row_5,,4/10/2022 5:14:11 PM,-33.4,ng/µl,-0.669,-0.342,1.95,1.04,D
123,113,LM0188,E57,XX,E57aTWY,Yes,0,0.0589,with_beads,with_beads,,Unknown,Found,Available,22.04.2022_B1,Dileshi,,,4/22/2022 5:26:10 PM,261.1,ng/µl,5.222,2.872,1.82,1.9,D
124,109,LM0188,E57,XX,E57aCIP,,1,0.0504,with_beads,with_beads,,Found,Found,Available,22.04.2022_B1,Dileshi,Box_3_Row_5,,4/22/2022 5:24:37 PM,274.7,ng/µl,5.494,3.031,1.81,1.87,D
125,120,LM0188,E57,XX,E57aIJT,,2,0.0662,with_beads,with_beads,,Found,Unknown,,23.04.2022_B2,Dileshi,Box_3_Row_5,,4/23/2022 8:22:53 PM,34.1,ng/µl,0.682,0.389,1.76,0.92,D
126,118,LM0188,E57,XX,E57aIJW,,3,0.0690,with_beads,with_beads,,Found,Unknown,Available,23.04.2022_B2,Dileshi,Box_3_Row_5,,4/23/2022 8:20:53 PM,117.8,ng/µl,2.357,1.273,1.85,1.54,D
127,114,LM0188,E57,XX,E57aCJS,,4,0.0745,with_beads,with_beads,,Found,Found,Available,22.04.2022_B1,Dileshi,Box_3_Row_5,,4/22/2022 5:27:40 PM,120.9,ng/µl,2.419,1.327,1.82,2.02,D
128,116,LM0188,E57,XX,E57aDOV,,5,0.0731,with_beads,with_beads,,Found,Found,,10.03.2022_B1,Dileshi,Box_3_Row_5,,,,,,,,,
129,116,LM0188,E57,XX,E57aKSV,Yes,5,0.0532,with_beads,with_beads,,Unknown,Found,Available,22.04.2022_B1,Dileshi,,,4/22/2022 5:23:53 PM,217.6,ng/µl,4.351,2.398,1.81,1.92,D
130,117,LM0188,E57,XX,E57aAYZ,,6,0.0552,with_beads,with_beads,,Unknown,Found,Available,22.04.2022_B1,Dileshi,Box_3_Row_5,,4/22/2022 5:28:22 PM,137.8,ng/µl,2.756,1.521,1.81,1.41,D
131,110,LM0188,E57,XX,E57aCKY,,7,0.0207,with_beads,with_beads,,Found,Unknown,,21.03.2022,Alexa,Box_3_Row_5,,3/21/2022 1:19:18 PM,20.7,ng/µl,0.414,0.217,1.9,-3.71,D
