EH_ID,labels,dpi,weight,weight_dpi0,weightloss,fecweight_flot,Expe,Eimeria,fecweight_DNA,Conc_DNA,P260_280,P260_230,V_H2O,Moist,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution,mean_Neubauer,oocysts.per.tube,OPG,Locality,Genome,Strain,IDD,Dam,Gen,Sir,IDS,Sir.1,Gen.1,Born,Fpar,LS,MM,FF,ID,PIN,Sex,Gen.2,Wean,BW10,BW20,Clip,Parent1,Parent2,HybridStatus,ageAtdpi0expe1a,Batch,Total_DNA,Microbial_density,Genome_copies_mean,Tm_mean,Infection,Genome_copies_ngDNA,DNA_sample,DNA_g_feces,Genome_copies_gFaeces
LM0204,KRW,4,18.62,19.26,3.3229491173,1.75,Expe005_1b,E64,0.114,102,1.9,0.99,52,0,0,1,1,2,2,1,20000,11428.57142857143,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,3.06,0.026842105263157896,609423.5626497337,74.5,Positive,12188.471252994676,3060,26842.105263157893,327164228.3698571
LM0204,KOT,7,20.19,19.26,-4.8286604361,1.43,Expe005_1b,E64,0.081,118.6,1.91,2.41,68.6,1,48,55,53,58,2,53.5,1070000,748251.7482517483,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,3.5580000000000003,0.04392592592592593,98548.87911964112,74.5,Positive,1970.9775823928223,3558,43925.92592592593,86577015.28584768
LM0204,ILQ,1,19.08,19.26,0.9345794393,NA,Expe005_1b,E64,0.283,39.9,1.81,0.32,NA,1,NA,NA,NA,NA,NA,NA,NA,0,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,1.197,0.004229681978798587,0,0,Negative,0,1197,4229.681978798587,0
LM0204,AEF,2,19.36,19.26,-0.5192107996,NA,Expe005_1b,E64,0.14,131.6,1.87,2.23,81.6,1,NA,NA,NA,NA,NA,NA,NA,0,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,3.948,0.0282,0,0,Negative,0,3948,28199.999999999996,0
LM0204,CIO,0,19.26,19.26,0,2.15,Expe005_1b,E64,0.105,90.7,1.91,1.03,40.7,1,0,0,0,0,1,0,0,0,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,2.721,0.025914285714285716,0,0,Negative,0,2721,25914.285714285714,0
LM0204,AKU,6,19.92,19.26,-3.4267912773,1.5,Expe005_1b,E64,0.129,121.4,1.89,1.48,71.4,1,388,342,414,380,1,381,3810000,2540000,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,3.642,0.02823255813953488,583539.7015432746,74.33333333333333,Positive,11670.79403086549,3642,28232.55813953488,329496371.01094663
LM0204,MTU,10,20.22,19.26,-4.984423676,1.38,Expe005_1b,E64,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM0204,JMO,8,20.42,19.26,-6.0228452752,1.76,Expe005_1b,E64,0.146,126.5,1.84,1.57,76.5,0,1,0,1,5,1,1.75,17500,9943.181818181818,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,3.795,0.025993150684931507,9188.831851429635,74.5,Positive,183.77663702859272,3795,25993.15068493151,4776933.818654174
LM0204,FWY,9,20.55,19.26,-6.6978193146,1.64,Expe005_1b,E64,0.147,127.3,1.92,2.11,77.3,1,0,0,0,0,1,0,0,0,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,3.819,0.025979591836734695,745.5786858814081,74.5,Positive,14.911573717628162,3819,25979.591836734697,387396.59882736026
LM0204,HLV,3,19.99,19.26,-3.790238837,1.05,Expe005_1b,E64,0.095,146.8,1.86,0.52,96.8,0,0,0,0,0,1,0,0,0,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,4.404,0.046357894736842105,3903.4492099619306,74.16666666666667,Positive,78.06898419923861,4404,46357.89473684211,3619113.751720493
LM0204,HLP,5,18.73,19.26,2.7518172378,0.79,Expe005_1b,E64,0.111,112,1.82,2.15,62,0,3,4,4,4,1,3.75,37500,47468.354430379746,PWD x BUSNA,mus x mus,PWD_BUSNA,SY,2996,46,BUSNA,SY,6113,60,2018-03-23,6,9,4,5,EX,726,M,F1,1M,4.44,7.53,P2,PWD,BUSNA,outbred hybrids,15.4285714286,1,3.36,0.03027027027027027,1578785.8165520946,74.5,Positive,31575.716331041895,3360,30270.27027027027,955805467.3180249
