"","EH_ID","experiment","labels","weight","weight_dpi0","relative_weight","fecweight_flot","dpi","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution","Locality","Genome","mouse_strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","primary_infection","InfectionStrain","challenge_infection","contamination","infection_history","InfectionHistoryTotal","Conc_DNA","A260","A280","R260.280","R260.230","Fecal_status","Mouse_status","fecweight_DNA","Extraction_round_1","Extraction_round_2","Faeces_for_RNA.Extraction","mean_Neubauer","oocysts.per.tube","OPG","Total_DNA","Microbial_density","Genome_copies","Tm","Infection","Genome_copies_ngDNA","DNA_sample","DNA_g_feces","Genome_copies_gFaeces"
"350","LM0231","E57","E57aDRV",18.82,18.71,100.587920897916,0,"1",NA,NA,NA,NA,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",144.2,2.884,1.481,1.95,7.03,NA,NA,0.1182,"no_beads","no_beads",NA,NA,NA,0,5.768,0.0487986463620981,NA,NA,NA,NA,5768,48798.6463620981,NA
"351","LM0231","E57","E57aDKZ",19.47,18.71,104.061998931053,0,"2",NA,NA,NA,NA,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",-94.8,-1.897,1.227,-1.55,-1.68,NA,NA,0.0523,"with_beads","with_beads",NA,NA,NA,0,-3.792,-0.0725047801147228,NA,NA,NA,NA,-3792,-72504.7801147228,NA
"352","LM0231","E57","E57aLQX",19.8,18.71,105.8257616248,0,"3",NA,NA,NA,NA,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",150.3,3.006,1.641,1.83,1.9,NA,NA,0.1072,"with_beads","with_beads",NA,NA,NA,0,6.012,0.0560820895522388,NA,NA,NA,NA,6012,56082.0895522388,NA
"353","LM0231","E57","E57aSXZ",19.08,18.71,101.97755211117,1.46,"4",0,0,0,0,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Available",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","LM0231","E57","E57aBUY",18.44,18.71,98.5569214323891,1.18,"5",0,0,0,0,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Available",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","LM0231","E57","E57aFMT",18.58,18.71,99.3051843933725,0.91,"6",0,0,0,0,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Available",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","LM0231","E57","E57aBGQ",17.2,18.71,91.9294494922501,0.8,"7",2,4,0,2,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Available",2,20000,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","LM0231","E57","E57aNSW",15.87,18.71,84.8209513629075,0.2,"8",1,4,10,9,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,60000,3e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","LM0231","E57","E57aIWY",15.39,18.71,82.2554783538215,0.4,"9",13,48,16,24,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Available",25.25,252500,631250,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","LM0231","E57","E57aAOR",16.64,18.71,88.9363976483164,0.51,"10",20,27,15,26,1,"PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F","5.91",10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E88","E64","E64",NA,"E88:E64","NA E88 E64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Available",22,220000,431372.549019608,NA,NA,NA,NA,NA,NA,NA,NA,NA
